AARA          Albanian Amateur Radio Association 
MARTS        Malaysian Amateur Radio Transmitters' Society 
CRAM         Club des Radioamateurs et Affilies du Mali 
MARL         Malta Amateur Radio League 
MARS         Mauritius Amateur Radio Society 
FMRE         Federacion Mexicana de Radio Experimentadores 
ARM          Asociatia Radioamatorilor din Republica Moldova 
ARM          Association des Radio-Amateurs de Monaco 
MRSF         Mongolian Radio Sport Federation 
MARS         Montserrat Amateur Radio Society 
ARRAM        Association Royale des Radio-Amateurs du Maroc 
LREM         Liga dos Radio Emissores de Mocambique 
BARTS     Burma Amateur Radio Transmitting Society (*) 
NARL   Namibian Amateur Radio League 
VERON           Nederland 
VERONA          Nederlandse Antillen 
ARANC           Association des Radio-Amateurs, de Nouvelle-Caledonie 
NZART           New Zealand Association of Radio Transmitters 
CREN            Club de Radio-Experimentadores de Nicaragua 
NARS            Nigeria Amateur Radio Society 
NRRL            Norsk Radio Relae Liga 
ROARS           Royal Omani Amateur Radio Society 
PARS            Pakistan Amateur Radio Society 
LPRA            Liga Panamena de Radioaficionados 
PNGARS          Papua New Guinea Amateur Radio Society 
RCP             Radio Club Paraguayo 
RCP             Radio Club Peruano 
PARA            Philippine Amateur Radio Association 
PIARA           Pitcairn Island Amateur Radio Association 
PZK        Polish Amateur Radio Union 
REP    Rede dos Emissores Portugueses 
QARS   Qatar Amateur Radio Society 
KARL   Korean Amateur Radio League 
FRR    Federatia Romana de Radioamatorism 
SRR    Russian Amateur Radio Union  
ARRSM   Associazione Radioamatori, della Repubblica di San Marino 
ARAS    Association des Radio-Amateurs du Senegal 
SLARS   Sierra Leone Amateur Radio Society 
SARTS   Singapore Amateur Radio Transmitting Society 
SZR        Slovensky Zvaz Radioamaterov 
SARA     Slovak Amateur Radio Association 
ZRS   Zveza Radioamaterjev Slovenije 
SIRS        Solomon Islands Radio Society 
SARL        South African Radio League 
URE         Union de Radioaficionados Espanoles 
RSSL        Radio Society of Sri Lanka 
VRAS        Vereniging van Radio Amateurs in Suriname 
RSS         Radio Society of Swaziland 
SSA         Foreningen Sveriges Sandareamatorer 
USKA        Union Schweizerischer Kurzwellen-Amateure 
TIR         Technical Institute of Radio 
TARL        Tajik Amateur Radio League 
TARC        Tanzania Amateur Radio Club 
RAST        Radio Amateur Society of Thailand 
ARCOT       Amateur Radio Club of Tonga 
TTARS       Trinidad and Tobago Amateur Radio Society 
ASTRA   Tunisian Amateur Radio Club 
TRAC   Telsiz Radyo Amatorleri Cemiyeti 
LRT   Turkmenistan Radio Amateur League 
TACARS              Turks and Caicos Amateur Radio Society 
ARRL                American Radio Relay League 
UARS                Uganda Amateur Radio Society 
UARL                Ukrainian Amateur Radio League 
RSGB                Radio Society of Great Britain 
RCU                 Radio Club Uruguayo 
VARS                Vanuatu Amateur Radio Society 
RCV                 Radio Club Venezolano 
WSARC               Western Samoa Amateur Radio Club 
SRS                 Amateur Radio Union of Serbia and Montenegro
RSZ                 Radio Society of Zambia 
ZARS                Zimbabwe Amateur Radio Society 
UBA                 Union Royale Belge des Amateurs-Emetteurs
AC       Administrative Council
R1       Region 1 Exec Comm
R2       Region 2 Exec Comm
R3       Region 3 Exec Comm
IARU     International Amateur Radio Union


